project,mode,city,year,mode_full,length,atgrade_miles,elevated_miles,below_miles,tunnel_miles,tunnel_pct,project_cost,cost_per_mile,hard_costs_row,hard_costs,soft_costs,soft_hard_pct,vehicles,avg_cost_per_vehicle,stations,avg_cost_per_station,vehicle_costs,row_costs,systems_costs,sitework_costs,facilities_costs,station_costs,guideway_costs,soft_costs_pct,vehicle_costs_pct,row_costs_pct,systems_costs_pct,sitework_costs_pct,facilities_costs_pct,station_costs_pct,guideway_costs_pct,soft_costs_per_mile,row_costs_per_mile,system_costs_per_mile,sitework_costs_per_mile,facility_costs_per_mile,guideway_costs_per_mile,Project Cost_2023,Cost per Mile_2023,Hard Costs + ROW_2023,Hard Costs_2023,Soft Costs_2023,Avg Cost per Vehicle_2023,Avg Cost per Station_2023,Vehicle Costs_2023,ROW Costs_2023,Systems Costs_2023,Sitework Costs_2023,Facilities Costs_2023,Station Costs_2023,Guideway Costs_2023,Soft Costs per Mile_2023,ROW Costs per Mile_2023,System Costs per Mile_2023,Sitework Costs per Mile_2023,Facility Costs per Mile_2023,Guideway Costs per Mile_2023
Pittsburgh - Light Rail Stage II,LRT,"Pittsburgh, PA",2003,Light Rail Transit,5.45,1.62,1.75,2.08,0.0,0.0,568679879,104392093,325220052,320875696,142728873,0.44,28,3597534.0,11,5120605.0,100730953,4344356,70151223,30367023,25403368,56326653,138627429,0.25,0.18,0.01,0.12,0.05,0.04,0.1,0.24,26200621,797490,12877602,5574449,4663275,25447722,639472622.3975273,117387458.09973797,365705429.69518393,360820261.73595595,160496634.5383105,4045376.9969664537,5758049.174115215,113270557.0395468,4885167.959227959,78884075.54543307,34147295.42807691,28565734.348215666,63338538.666295156,155884617.74793518,29462234.269262277,896766.4242536073,14480684.52081042,6268390.446167472,5243787.94349928,28615609.804937813
Pittsburgh - Airport Busway,BRT,"Pittsburgh, PA",2008,Bus Rapid Transit,5.0,3.0,1.0,1.0,1.0,0.2,337009662,67401932,202685493,164900421,134324168,0.81,0,,6,780843.0,0,37785072,0,38864124,0,4685060,121351237,0.4,,0.11,,0.12,,0.01,0.36,26864834,7557014,0,7772825,0,24270247,378962682.3291287,75792536.0160313,227917020.65943092,185428232.20113665,151045660.54521164,,878047.1040557994,0.0,42488788.45829427,0.0,43702167.43937705,0.0,5268284.873307007,136457779.8884526,30209132.55883677,8497757.241864413,0.0,8740433.71277263,0.0,27291555.527896076
Pittsburgh - North Shore LRT Connector,LRT,"Pittsburgh, PA",2011,Light Rail Transit,1.2,0.0,0.56,0.64,0.61,0.51,614797693,512331411,478723023,467372927,136074670,0.29,0,,1,145307014.0,0,11350096,50804390,82945329,0,145307014,188316193,0.22,,0.02,0.08,0.13,,0.24,0.31,113395559,9458414,42336992,69121108,0,156930161,691331463.4553124,576109553.0668412,538317387.7334981,525554362.48571426,153014075.72181422,,163395718.2707606,0.0,12763025.247783886,57128830.6520279,93270869.97438093,0.0,163395718.2707606,211758942.46405873,127511730.51783592,10635855.122810643,47607359.251518615,77725725.54089382,0.0,176465785.57412997
Portland - MAX Segment I,LRT,"Portland, OR",1984,Light Rail Transit,19.58,14.29,5.24,0.05,0.0,0.0,837980593,42795465,647654812,607082336,124171546,0.2,26,2544394.0,30,1028851.0,66154235,40572476,54804269,212770130,30440441,30865543,278201952,0.15,0.08,0.05,0.07,0.25,0.04,0.04,0.33,6341411,2072026,2798841,10866119,1554586,14207706,942297533.4844668,48122905.769753106,728278837.236683,682655651.710049,139629178.17209283,2861135.6998486915,1156928.65410193,74389518.07569103,45623185.52663394,61626639.01110085,239257054.84466913,34229852.948968515,34707874.24137727,312834229.5394471,7130828.558593201,2329964.4471786544,3147257.8159279623,12218799.835915415,1748110.3567627412,15976367.987644387
Portland - Westside/Hillsboro MAX,LRT,"Portland, OR",1996,Light Rail Transit,17.73,14.77,0.0,2.96,2.96,0.17,1673800743,94410330,1101489306,983939446,377411644,0.38,36,5413883.0,20,6175405.0,194899792,117549860,133725163,70269709,33746041,123508092,622690442,0.23,0.12,0.07,0.08,0.04,0.02,0.07,0.37,21287813,6630372,7542736,3963546,1903437,35122705,1882165678.8337674,106163104.29811418,1238609419.924021,1106426235.6537328,424394149.7216961,6087836.210156105,6944157.1181680625,219162108.0635642,132183184.27028821,150372087.74560282,79017311.40612613,37946954.21921983,138883133.3674724,700206750.0397977,23937849.93440602,7455761.188116765,8481701.82925047,4456952.405402812,2140388.4591430784,39494993.75912462
Portland - Interstate MAX,LRT,"Portland, OR",2002,Light Rail Transit,5.75,5.01,0.74,0.0,0.0,0.0,516990878,89911457,344175581,331529310,63436201,0.19,24,4557462.0,10,1760778.0,109379097,12646271,54505789,52433222,21548065,17607778,185434456,0.12,0.21,0.02,0.11,0.1,0.04,0.03,0.36,11032383,2199351,9479268,9118821,3747490,32249471,581349058.967251,101104184.11932686,387020658.67757314,372800102.65202785,71333126.60848802,5124802.695220873,1979970.3958224156,122995274.8056759,14220556.025545262,61291002.398339294,58960429.60417758,24230499.692327563,19799701.709251944,208518469.24793148,12405761.393755766,2473139.640557995,10659305.156054175,10253987.512794774,4214000.435398752,36264082.04835221
Portland - South Corridor/Portland Mall,LRT,"Portland, OR",2006,Light Rail Transit,8.37,7.5,0.74,0.13,0.12,0.01,751765853,89815896,509580142,481967233,131520458,0.27,22,5030239.0,22,1984438.0,110665254,27612909,101585412,232849325,9491101,43657627,94383768,0.17,0.15,0.04,0.14,0.31,0.01,0.06,0.13,15713174,3299003,12136738,27819261,1133932,11276334,845350256.2675055,100996727.10260175,573015789.3039229,541965456.8017344,147892927.60643613,5656433.862708048,2231472.9581724913,124441540.48163263,31050332.502188433,114231384.3127431,261835830.63125068,10672611.200140236,49092394.95941986,106133235.6981806,17669245.83587851,3709683.035413514,13647593.246765323,31282372.45902498,1275090.778551131,12680080.903671993
Portland - Wilsonville to Beaverton,CRT,"Portland, OR",2007,Commuter Rail Transit,14.78,14.4,0.0,0.38,0.38,0.03,146675767,9923986,96150687,90844776,27663922,0.3,4,5715289.0,5,439371.0,22861158,5305911,15862844,40148496,6806203,2196856,25830377,0.19,0.16,0.04,0.11,0.27,0.05,0.01,0.18,1871723,358994,1073270,2716421,460503,1747666,164934862.00108498,11159384.367907885,108120111.56317672,102153688.36680074,31107695.911886923,6426763.069262279,494066.58464774693,25707054.526021328,5966423.196375982,17837547.671284642,45146425.907635525,7653480.704528176,2470334.04772484,29045900.03562756,2104726.50679411,403683.7649481492,1206877.202420932,3054577.6711148834,517829.2250286009,1965226.1340074546
Sacramento - Stage I,LRT,"Sacramento, CA",1985,Light Rail Transit,21.2,20.25,0.95,0.0,0.0,0.0,412088111,19438118,277021150,233182435,47933485,0.21,36,2420374.0,28,923680.0,87133476,43838715,49142366,30606077,10020350,25863029,117550614,0.12,0.21,0.11,0.12,0.07,0.02,0.06,0.29,2261013,2067864,2318036,1443683,472658,5544840,463387355.0500867,21857893.607543267,311506434.0971325,262210408.19784474,53900537.86939513,2721676.9330479386,1038665.3259032364,97980383.08355905,49296025.89928774,55259907.757065356,34416108.329534635,11267744.346975679,29082616.75594346,132184032.13281174,2542477.702793667,2325284.336007676,2606599.27398605,1623401.4742074767,531497.3536406243,6235095.537070524
Sacramento - Folsom Corridor,LRT,"Sacramento, CA",2002,Light Rail Transit,12.89,12.75,0.14,0.0,0.0,0.0,404098832,31344819,273496716,260977678,76849000,0.29,14,3839508.0,10,3125843.0,53753116,12519038,94281659,27070504,12565322,31258427,95801766,0.19,0.13,0.03,0.23,0.07,0.03,0.08,0.24,5960963,971067,7313165,2099783,974657,7431076,454403521.82184,35246813.44406392,307543257.0344761,293465772.7495885,86415632.71948923,4317473.39785216,3514967.0213898215,60444632.06787467,14077484.284887625,106018415.54643686,30440405.61614939,14129529.999793334,35149666.8404399,107727754.74676901,6703020.068738236,1091951.3489832822,8223552.429530944,2361176.8080082666,1095988.25410193,8356141.710713362
Sacramento - South Corridor,LRT,"Sacramento, CA",2002,Light Rail Transit,6.3,6.18,0.12,0.0,0.0,0.0,337126232,53512100,189354268,159926729,56030067,0.35,24,3822579.0,6,5636929.0,91741897,29427539,40484735,11866752,0,33821572,73753671,0.17,0.27,0.09,0.12,0.04,,0.1,0.22,8893661,4671038,6426148,1883611,0,11706932,379093763.67444366,60173612.924678005,212926243.37799755,179835384.65423477,63005031.83021736,4298436.972572609,6338648.338037421,103162488.46622872,33090858.723762777,45524521.99125364,13343997.741093108,0.0,38031887.77925231,82934978.26712182,10000798.221286489,5252517.329136066,7226114.137712661,2118094.397615972,0.0,13164282.371716425
South Corridor Light Rail Extension Phase 2,LRT,"Sacramento, CA",2013,Light Rail Transit,3.89,0.0,3.89,0.0,0.0,0.0,298556674,76749788,222037341,177729794,76519333,0.43,0,,4,4517135.0,0,44307547,42591866,74815484,0,18068542,42253903,0.26,,0.15,0.14,0.25,,0.06,0.14,19670780,11390115,10949066,19232772,0,10862186,335722831.6092113,86304070.20399305,249677904.85065502,199854683.8815662,86044926.75855629,,5079455.544045466,0.0,49823220.96908882,47893961.52316492,84128972.23223235,0.0,20317824.425154075,47513926.82550097,22119518.79381481,12808026.057238808,12312072.584906077,21626984.883728825,0.0,12214377.23206259
Salt Lake City - North South Corridor,LRT,"Salt Lake City, UT",1998,Light Rail Transit,15.05,15.0,0.05,0.0,0.0,0.0,490313509,32578561,320406369,262866473,69747304,0.27,23,4354775.0,16,1547011.0,100159836,57539896,51674232,9000250,24236418,24752177,153203396,0.14,0.2,0.12,0.11,0.02,0.05,0.05,0.31,4634314,3823201,3433461,598016,1610373,10179500,551350728.1961766,36634139.1808023,360292510.0455327,295589696.4831752,78429874.24219655,4896883.979960881,1739592.3745137837,112628343.90844741,64702813.56235745,58106955.89498468,10120656.070782743,27253515.28743403,27833479.116706643,172275090.11326712,5211221.701398678,4299136.402930213,3860879.1881831936,672460.6828505,1810842.0631287594,11446706.310661696
Salt Lake City - Weber Co. Commuter Rail,CRT,"Salt Lake City, UT",2008,Commuter Rail Transit,44.0,43.62,0.38,0.0,0.0,0.0,681906351,15497872,534433234,460206695,43580671,0.09,54,1923934.0,8,3261166.0,103892446,74226539,68284616,169819755,9606187,26089327,186406810,0.06,0.15,0.11,0.1,0.25,0.01,0.04,0.27,990470,1686967,1551923,3859540,218322,4236518,766794216.9332472,17427141.728397977,600962745.9359634,517496034.17311877,49005859.00668708,2163437.050846957,3667135.854640735,116825611.99059674,83466711.76284459,76785101.90955456,190959954.93231723,10802023.808074694,29337085.71263977,209611867.8105325,1113769.7528877736,1896970.9518913531,1745115.8502638666,4339999.103516994,245500.05551906113,4763905.626585969
Salt Lake City - Mid Jordan LRT,LRT,"Salt Lake City, UT",2011,Light Rail Transit,10.6,10.4,0.2,0.0,0.0,0.0,578868132,54610201,391069751,324351187,58824235,0.18,28,4606220.0,10,1625685.0,128974147,66718564,87413957,148484948,15092461,16256852,57102969,0.1,0.22,0.12,0.15,0.26,0.03,0.03,0.1,5549456,6294204,8246600,14008014,1423817,5387073,650929171.3350703,61408412.241583936,439752501.27025867,364728403.0751522,66147034.922574446,5179630.388751522,1828060.194375761,145029636.26672325,75024098.19510646,98295780.0709082,166969260.8978706,16971262.69189209,18280604.19272982,64211495.22175148,6240286.164933387,7077744.943012141,9273187.117393069,15751817.108270288,1601062.4332361515,6057688.737668376
Draper Light Rail Line,LRT,"Salt Lake City, UT",2012,Light Rail Transit,3.8,3.71,0.0,0.09,0.0,0.0,167373790,44045734,126086062,113019915,18522584,0.16,5,4553029.0,3,1509946.0,22765143,13066147,30560455,63137896,0,4529839,14791725,0.11,0.14,0.08,0.18,0.38,,0.03,0.09,4874364,3438460,8042225,16615236,0,3892559,188209501.2753441,49528815.88835664,141782024.81279844,127089324.05923164,20828388.345455214,5119817.848315312,1697913.2970144295,25599086.992604345,14692700.753566815,34364807.024430744,70997686.78079492,0.0,5093741.015529394,16633089.238476582,5481154.591017456,3866500.4942244524,9043370.269587038,18683602.021153633,0.0,4377128.510233605
San Diego - Mission Valley East,LRT,"San Diego, CA",2003,Light Rail Transit,5.49,0.0,3.44,2.05,0.62,0.11,742242977,135284025,507348920,457659446,177138274,0.39,11,5250526.0,4,24725940.0,57755783,49689474,45167260,76231697,0,98903758,237356730,0.24,0.08,0.07,0.06,0.1,,0.13,0.32,32285895,9056592,8232356,13894279,0,43261539,834641914.521364,152125006.40495256,570506811.1666974,514631688.0654389,199189527.86045685,5904143.5334243635,27803975.97475735,64945575.494209684,55875123.101258434,50789956.292283274,85721484.07312247,0.0,111215901.6500572,266904344.92548987,36305040.33025796,10184011.866937298,9257169.937306711,15623923.681064323,0.0,48646999.5068753
San Francisco BART - SFO Extension,HRT,"San Francisco, CA",2003,Heavy Rail Transit,8.61,1.51,1.37,5.73,5.73,0.67,2252562096,261712573,1819792982,1485664135,432769115,0.29,0,,6,79881565.0,0,334128847,236783930,17288911,102616541,479289393,649685361,0.19,,0.15,0.11,0.01,0.05,0.21,0.29,50281019,38820559,27510599,2008702,11922441,75483303,2532974778.666981,294292151.96607,2046331923.0961506,1670608677.20696,486642856.6953168,,89825709.92593275,0.0,375723245.8891907,266260239.284275,19441140.19825811,115390874.5461933,538954262.9290549,730562161.373665,56540307.23452042,43653179.20219212,30935286.328737497,2258757.4890356865,13406619.24782079,84879925.41870317
Santa Clara VTA - North Corridor,LRT,"San Jose, CA",1986,Light Rail Transit,15.58,15.58,0.0,0.0,0.0,0.0,838931838,53853525,484289961,349257402,217151798,0.62,50,2749802.0,22,552234.0,137490079,135032559,82047516,39525524,52639226,12149148,162895989,0.26,0.16,0.16,0.1,0.05,0.06,0.01,0.19,13939618,8668141,5266874,2537261,3379068,10456777,943367195.2698674,60557540.5932391,544577332.1645274,392735095.7825737,244184179.6294645,3092114.1418016753,620979.4599697383,154605683.47587556,151842236.38195372,92261291.73056795,44445902.54953685,59192078.239849426,13661548.119334243,183174276.26777133,15674906.75660036,9747204.114780232,5922526.632276636,2853114.740458353,3799715.0154482042,11758500.444528913
Santa Clara VTA - Tasman West,LRT,"San Jose, CA",1999,Light Rail Transit,7.46,7.11,0.0,0.36,0.0,0.0,585304502,78436745,321510205,261432574,215945841,0.83,10,4784846.0,11,1446170.0,47848455,60077631,40694153,21651209,0,15907866,183179347,0.37,0.08,0.1,0.07,0.04,,0.03,0.31,28938935,8051012,5453430,2901482,0,24547892,658166779.969753,88201029.91102335,361533758.2902535,293977296.9810237,242828097.73916668,5380492.843827729,1626198.0711517879,53804922.81584677,67556461.30922979,45760009.62248957,24346483.687190462,0.0,17888174.284725245,205982630.51110452,32541430.31468428,9053251.128995828,6132306.262169243,3262676.1942798095,0.0,27603763.472650107
"San Juan, PR - Tren Urbano",HRT,"San Juan, PR",2002,Heavy Rail Transit,10.69,4.28,5.56,0.85,0.83,0.08,3360928202,314472814,2318245187,2318245187,790365636,0.34,74,3409694.0,16,57261787.0,252317379,0,291656806,16806385,253043030,916188593,840550373,0.24,0.08,,0.09,0.01,0.08,0.27,0.25,73952340,0,27289526,1572527,23676541,78647988,3779317064.6411185,353620309.89197326,2606834501.8609953,2606834501.8609953,888755175.9252758,3834153.526914418,64390083.85605048,283727386.8548474,0.0,327964025.91361403,18898546.415728677,284543371.3217699,1030241342.8212938,945187215.388589,83158378.79721002,0.0,30686692.81194228,1768284.761981031,26623941.380160164,88438569.72940177
St. Louis - St. Clair County Extension,LRT,"St. Louis, MO",1983,Light Rail Transit,17.4,17.4,0.0,0.0,0.0,0.0,953843456,54818589,599841765,544719538,185068168,0.34,24,7038897.0,8,3434313.0,168933523,55122227,121214708,23462822,35920548,27474503,336646958,0.19,0.18,0.06,0.13,0.02,0.04,0.03,0.35,10636102,3167944,6966363,1348438,2064399,19347526,1072583713.0682806,61642741.65213123,674513730.2248588,612529551.860634,208106583.48133,7915141.874355094,3861837.2503450564,189963399.36209172,61984178.364224814,136304254.92495847,26383617.334184594,40392157.126973465,30894696.878274344,378554826.7207292,11960148.915392848,3562309.0109163374,7833578.399180721,1516299.7950917075,2321387.991652212,21756024.162276264
New Jersey - Southern NJ Light Rail Transit System,LRT,"Trenton, NJ",2002,Light Rail Transit,28.01,28.01,0.0,0.0,0.0,0.0,1052248282,37570766,718905951,591928114,221966506,0.37,20,5568791.0,20,2328067.0,111375825,126977837,73953066,102109223,87251738,46561346,282052741,0.21,0.11,0.12,0.07,0.1,0.08,0.04,0.27,7925365,4533773,2640511,3645833,3115343,10070758,1183238572.616762,42247804.33897479,808399753.0413034,665614939.6317968,249598251.87737384,6262028.103782706,2617878.9941100487,125240567.69808465,142784813.4095066,83159195.17412259,114820402.50413698,98113367.0593645,52357586.62911761,317164388.2650551,8911962.823301472,5098164.743868325,2969217.930848433,4099688.5513746906,3503159.9172823555,11324427.442580359
"Washington, D.C. - Glenmont Outer (B)",HRT,"Washington, DC",1996,Heavy Rail Transit,1.57,0.0,0.0,1.57,1.57,1.0,421063965,267535227,301101453,298338215,119962512,0.4,0,,1,64929907.0,0,2763238,30208116,11072250,56875496,64929907,135252446,0.28,,0.01,0.07,0.03,0.14,0.15,0.32,76221668,1755703,19193604,7035076,36137499,85936572,473480578.1578403,300839645.4860464,338584400.23621064,335477177.4990958,134896177.9216297,,73012778.25114956,0.0,3107222.7371148095,33968606.71451452,12450591.281322654,63955704.99388123,73012778.25114956,152089496.25822783,85710206.60197069,1974263.6288371405,21582941.011949662,7910845.2129460815,40636115.51204192,96634481.16597408
"Washington, D.C. - Greenbelt Mid (E)",HRT,"Washington, DC",1996,Heavy Rail Transit,2.91,0.0,0.0,2.91,2.91,1.0,1028550957,353219451,773866789,740189829,254684168,0.34,0,,2,104797035.0,0,33676960,39841013,89981578,0,209594071,400773168,0.25,,0.03,0.04,0.09,,0.2,0.39,87462270,11565161,13681987,30900991,0,137631371,1156591259.9173856,397190364.8322766,870202451.717452,832333178.1228844,286388808.1999335,,117842809.75226039,0.0,37869273.594567664,44800665.546466395,101183034.20952871,0.0,235685620.6290069,450663858.86236846,98350107.36812192,13004862.852057422,15385204.276761264,34747735.02484407,0.0,154764564.36669004
"Washington, D.C. - Anacostia Outer (F)",HRT,"Washington, DC",1998,Heavy Rail Transit,6.67,0.0,2.0,4.67,2.89,0.43,1413595473,211894847,1063229601,1007539448,350365872,0.35,0,,5,53237240.0,0,55690153,96663361,75358576,155722863,266186198,413608450,0.25,,0.04,0.07,0.05,0.11,0.19,0.29,52519072,8347831,14489625,11296084,23342514,61998995,1589568468.1479352,238272811.27281246,1195586913.2520278,1132964109.991866,393981554.8959073,,59864536.67372771,0.0,62622803.26016164,108696606.35281396,84739671.64022584,175108195.7479647,299322681.11966634,465096955.1311953,59056966.73633243,9387019.970336199,16293381.986013211,12702289.504255082,26248332.659807358,69717008.43078569
